YardCraneScheduling
number of cranes
1
number of containers
150
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
4	1	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
3	O	8	22	1	1	-1	1313	-1	1	1
2	D	6	15	3	0	513	-1	-1	1	1
1	D	6	25	2	0	281	-1	-1	1	1
3	O	2	39	3	0	-1	1905	-1	1	1
3	O	6	6	2	1	-1	1374	-1	1	1
2	D	4	18	3	0	193	-1	-1	1	1
3	O	1	26	2	0	-1	691	-1	1	1
4	O	1	10	2	0	-1	-1	1220	1	1
3	O	10	42	4	0	-1	1914	-1	1	1
3	O	8	37	2	0	-1	303	-1	1	1
1	D	3	2	1	0	1	-1	-1	1	1
4	O	6	35	4	0	-1	-1	2484	1	1
3	O	1	24	2	0	-1	949	-1	1	1
4	O	8	40	2	0	-1	-1	95	1	1
3	O	2	28	4	0	-1	699	-1	1	1
4	O	10	15	4	0	-1	-1	202	1	1
2	D	9	5	3	0	119	-1	-1	1	1
1	D	4	30	1	0	548	-1	-1	1	1
3	O	9	7	2	0	-1	2139	-1	1	1
2	D	9	9	2	0	471	-1	-1	1	1
2	D	5	1	3	0	339	-1	-1	1	1
1	D	5	8	3	0	213	-1	-1	1	1
1	D	6	26	4	0	241	-1	-1	1	1
1	D	6	30	1	0	368	-1	-1	1	1
1	D	1	25	3	0	581	-1	-1	1	1
2	D	7	37	3	0	84	-1	-1	1	1
2	D	3	22	1	0	535	-1	-1	1	1
4	O	8	8	2	0	-1	-1	857	1	1
2	D	3	29	1	0	288	-1	-1	1	1
1	D	10	20	1	0	235	-1	-1	1	1
1	D	4	27	1	0	239	-1	-1	1	1
4	O	2	29	2	1	-1	-1	92	1	1
3	O	3	4	4	0	-1	537	-1	1	1
4	O	9	24	4	0	-1	-1	989	1	1
1	D	1	9	2	0	522	-1	-1	1	1
3	O	10	30	1	2	-1	117	-1	1	1
4	O	9	17	2	0	-1	-1	416	1	1
2	D	4	4	2	0	263	-1	-1	1	1
2	D	5	30	3	0	290	-1	-1	1	1
3	O	3	6	2	0	-1	2453	-1	1	1
4	O	1	28	2	0	-1	-1	384	1	1
1	D	1	32	2	0	135	-1	-1	1	1
1	D	4	39	2	0	282	-1	-1	1	1
1	D	7	5	4	0	612	-1	-1	1	1
1	D	3	1	1	0	498	-1	-1	1	1
4	O	3	23	4	0	-1	-1	2216	1	1
2	D	8	10	1	0	15	-1	-1	1	1
1	D	1	27	2	0	55	-1	-1	1	1
2	D	5	38	4	0	390	-1	-1	1	1
1	D	1	15	3	0	237	-1	-1	1	1
1	D	10	4	1	0	449	-1	-1	1	1
3	O	5	41	4	0	-1	641	-1	1	1
3	O	4	25	1	0	-1	1213	-1	1	1
1	D	2	21	4	0	561	-1	-1	1	1
2	D	2	33	3	0	359	-1	-1	1	1
2	D	8	32	2	0	600	-1	-1	1	1
1	D	9	11	3	0	410	-1	-1	1	1
1	D	3	8	3	0	616	-1	-1	1	1
2	D	3	35	2	0	479	-1	-1	1	1
2	D	7	41	4	0	260	-1	-1	1	1
1	D	8	17	4	0	161	-1	-1	1	1
2	D	7	3	4	0	596	-1	-1	1	1
4	O	5	42	3	0	-1	-1	501	1	1
4	O	1	22	3	0	-1	-1	2019	1	1
4	O	10	25	3	0	-1	-1	607	1	1
1	D	7	36	3	0	528	-1	-1	1	1
4	O	1	16	2	0	-1	-1	998	1	1
2	D	2	40	3	0	37	-1	-1	1	1
1	D	4	24	4	0	503	-1	-1	1	1
2	D	8	1	3	0	478	-1	-1	1	1
4	O	7	42	4	0	-1	-1	1484	1	1
4	O	4	3	1	1	-1	-1	308	1	1
1	D	7	2	3	0	248	-1	-1	1	1
3	O	5	25	1	0	-1	55	-1	1	1
1	D	3	15	3	0	409	-1	-1	1	1
2	D	6	22	1	0	360	-1	-1	1	1
3	O	6	17	4	0	-1	323	-1	1	1
4	O	7	23	4	0	-1	-1	202	1	1
2	D	2	6	4	0	370	-1	-1	1	1
2	D	9	36	1	0	480	-1	-1	1	1
3	O	5	4	2	0	-1	2481	-1	1	1
1	D	2	9	4	0	82	-1	-1	1	1
3	O	8	21	3	0	-1	1415	-1	1	1
1	D	2	42	4	0	400	-1	-1	1	1
1	D	3	17	4	0	565	-1	-1	1	1
3	O	9	27	2	1	-1	276	-1	1	1
2	D	10	41	1	0	453	-1	-1	1	1
2	D	9	10	1	0	436	-1	-1	1	1
4	O	4	28	4	0	-1	-1	289	1	1
1	D	1	41	4	0	479	-1	-1	1	1
3	O	10	17	4	0	-1	758	-1	1	1
1	D	9	13	4	0	410	-1	-1	1	1
3	O	9	39	1	0	-1	357	-1	1	1
1	D	10	2	4	0	172	-1	-1	1	1
3	O	4	5	4	0	-1	1431	-1	1	1
4	O	5	39	3	0	-1	-1	640	1	1
3	O	8	30	4	0	-1	941	-1	1	1
3	O	1	31	2	0	-1	1550	-1	1	1
2	D	4	26	4	0	349	-1	-1	1	1
4	O	6	13	2	0	-1	-1	566	1	1
2	D	1	19	3	0	292	-1	-1	1	1
4	O	3	20	2	0	-1	-1	1876	1	1
1	D	7	1	3	0	577	-1	-1	1	1
4	O	3	19	3	0	-1	-1	228	1	1
1	D	5	35	2	0	538	-1	-1	1	1
3	O	7	14	4	0	-1	156	-1	1	1
3	O	8	16	4	0	-1	1697	-1	1	1
2	D	8	9	4	0	386	-1	-1	1	1
2	D	10	37	2	0	630	-1	-1	1	1
3	O	6	39	4	0	-1	770	-1	1	1
4	O	7	12	2	0	-1	-1	1968	1	1
3	O	6	14	1	0	-1	1429	-1	1	1
2	D	9	8	3	0	353	-1	-1	1	1
3	O	7	40	4	0	-1	1463	-1	1	1
3	O	4	8	2	1	-1	2505	-1	1	1
4	O	6	20	2	0	-1	-1	2059	1	1
2	D	7	11	3	0	332	-1	-1	1	1
3	O	6	18	3	0	-1	1540	-1	1	1
1	D	10	5	3	0	122	-1	-1	1	1
1	D	8	29	4	0	355	-1	-1	1	1
2	D	8	31	1	0	302	-1	-1	1	1
1	D	1	38	1	0	603	-1	-1	1	1
1	D	6	8	4	0	156	-1	-1	1	1
1	D	2	18	4	0	579	-1	-1	1	1
2	D	1	37	1	0	102	-1	-1	1	1
4	O	6	31	1	1	-1	-1	1602	1	1
2	D	2	17	4	0	235	-1	-1	1	1
3	O	5	9	4	0	-1	1641	-1	1	1
4	O	6	12	2	0	-1	-1	633	1	1
3	O	8	36	2	0	-1	319	-1	1	1
3	O	2	34	3	0	-1	299	-1	1	1
2	D	8	20	3	0	61	-1	-1	1	1
2	D	5	33	1	0	238	-1	-1	1	1
4	O	5	26	4	0	-1	-1	1839	1	1
2	D	9	12	2	0	442	-1	-1	1	1
3	O	9	25	4	0	-1	2428	-1	1	1
2	D	10	35	1	0	595	-1	-1	1	1
4	O	6	33	1	0	-1	-1	936	1	1
1	D	5	28	3	0	554	-1	-1	1	1
2	D	1	1	3	0	1	-1	-1	1	1
3	O	9	4	4	0	-1	2000	-1	1	1
1	D	7	34	3	0	35	-1	-1	1	1
1	D	3	21	4	0	543	-1	-1	1	1
4	O	9	1	1	1	-1	-1	1592	1	1
1	D	7	8	4	0	550	-1	-1	1	1
2	D	5	2	4	0	523	-1	-1	1	1
4	O	9	16	4	0	-1	-1	895	1	1
3	O	9	23	2	1	-1	1099	-1	1	1
3	O	4	19	1	0	-1	2133	-1	1	1
1	D	2	16	3	0	165	-1	-1	1	1
