YardCraneScheduling
number of cranes
1
number of containers
40
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
10	16	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
3	O	6	36	4	0	-1	401	-1	1	1
4	O	4	41	2	0	-1	-1	580	1	1
4	O	8	36	3	0	-1	-1	164	1	1
3	O	1	5	1	0	-1	603	-1	1	1
1	D	9	31	1	0	10	-1	-1	1	1
4	O	6	22	4	0	-1	-1	656	1	1
4	O	1	16	1	0	-1	-1	1	1	1
3	O	5	26	3	0	-1	25	-1	1	1
3	O	5	4	3	0	-1	584	-1	1	1
3	O	8	1	4	0	-1	188	-1	1	1
1	D	5	37	2	0	153	-1	-1	1	1
1	D	10	4	4	0	64	-1	-1	1	1
2	D	8	32	4	0	135	-1	-1	1	1
3	O	9	14	1	0	-1	459	-1	1	1
3	O	2	12	3	0	-1	550	-1	1	1
1	D	10	29	1	0	18	-1	-1	1	1
2	D	9	30	4	0	158	-1	-1	1	1
3	O	6	15	2	0	-1	206	-1	1	1
4	O	6	5	1	0	-1	-1	556	1	1
3	O	3	13	3	0	-1	204	-1	1	1
1	D	6	9	4	0	85	-1	-1	1	1
4	O	3	31	1	1	-1	-1	41	1	1
3	O	7	18	3	0	-1	38	-1	1	1
1	D	8	30	2	0	13	-1	-1	1	1
4	O	1	6	1	1	-1	-1	503	1	1
2	D	1	10	1	0	73	-1	-1	1	1
4	O	9	9	2	1	-1	-1	31	1	1
1	D	4	35	3	0	54	-1	-1	1	1
4	O	2	19	3	0	-1	-1	567	1	1
2	D	8	15	1	0	80	-1	-1	1	1
2	D	1	20	3	0	66	-1	-1	1	1
2	D	7	16	1	0	17	-1	-1	1	1
1	D	1	23	1	0	38	-1	-1	1	1
4	O	3	24	1	0	-1	-1	61	1	1
2	D	3	22	4	0	33	-1	-1	1	1
1	D	4	31	4	0	15	-1	-1	1	1
1	D	1	1	4	0	45	-1	-1	1	1
2	D	6	30	2	0	88	-1	-1	1	1
2	D	2	22	3	0	6	-1	-1	1	1
3	O	8	31	4	0	-1	132	-1	1	1
