YardCraneScheduling
number of cranes
1
number of containers
40
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
9	30	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
4	O	6	2	3	0	-1	-1	486	1	1
4	O	1	17	2	0	-1	-1	659	1	1
3	O	6	17	1	0	-1	187	-1	1	1
1	D	5	36	1	0	11	-1	-1	1	1
2	D	1	27	2	0	100	-1	-1	1	1
3	O	8	10	2	0	-1	463	-1	1	1
3	O	10	19	4	0	-1	125	-1	1	1
3	O	5	19	1	1	-1	277	-1	1	1
3	O	7	37	1	1	-1	503	-1	1	1
4	O	6	7	1	0	-1	-1	662	1	1
1	D	6	9	2	0	53	-1	-1	1	1
3	O	9	23	1	0	-1	661	-1	1	1
1	D	6	22	2	0	87	-1	-1	1	1
3	O	4	41	4	0	-1	370	-1	1	1
1	D	9	15	3	0	41	-1	-1	1	1
2	D	2	12	3	0	166	-1	-1	1	1
3	O	4	15	3	0	-1	48	-1	1	1
3	O	3	7	1	0	-1	430	-1	1	1
2	D	7	30	2	0	145	-1	-1	1	1
4	O	9	21	3	0	-1	-1	119	1	1
1	D	2	19	1	0	26	-1	-1	1	1
1	D	7	40	2	0	29	-1	-1	1	1
1	D	7	35	1	0	7	-1	-1	1	1
2	D	10	41	3	0	20	-1	-1	1	1
1	D	3	11	3	0	70	-1	-1	1	1
4	O	4	29	2	1	-1	-1	644	1	1
1	D	3	22	2	0	88	-1	-1	1	1
4	O	1	26	2	1	-1	-1	20	1	1
4	O	7	32	3	0	-1	-1	450	1	1
1	D	8	22	1	0	66	-1	-1	1	1
3	O	8	3	3	0	-1	382	-1	1	1
1	D	10	16	1	0	135	-1	-1	1	1
4	O	10	27	1	1	-1	-1	545	1	1
4	O	10	26	1	1	-1	-1	647	1	1
4	O	8	5	1	1	-1	-1	604	1	1
4	O	9	30	3	0	-1	-1	76	1	1
3	O	9	34	4	0	-1	568	-1	1	1
2	D	3	18	1	0	16	-1	-1	1	1
4	O	5	1	3	0	-1	-1	392	1	1
4	O	10	30	3	0	-1	-1	209	1	1
