YardCraneScheduling
number of cranes
1
number of containers
150
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
5	28	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
3	O	9	5	2	1	-1	1263	-1	3	3
4	O	2	20	1	0	-1	-1	789	1	1
2	D	7	31	4	0	1288	-1	-1	1	1
1	D	1	34	2	0	477	-1	-1	3	3
3	O	1	7	2	0	-1	1151	-1	3	3
2	D	2	40	4	0	1428	-1	-1	1	1
3	O	4	38	2	0	-1	2145	-1	3	3
2	D	7	4	2	0	1517	-1	-1	1	1
3	O	1	10	2	0	-1	2401	-1	3	3
2	D	3	22	1	0	448	-1	-1	1	1
2	D	8	6	1	0	932	-1	-1	1	1
1	D	6	40	2	0	1316	-1	-1	3	3
3	O	3	5	2	1	-1	877	-1	3	3
2	D	7	25	1	0	358	-1	-1	1	1
2	D	9	34	1	0	1465	-1	-1	1	1
1	D	9	32	3	0	820	-1	-1	3	3
3	O	6	19	1	0	-1	1046	-1	3	3
3	O	5	9	3	0	-1	2070	-1	3	3
3	O	2	9	1	0	-1	74	-1	3	3
4	O	1	25	2	0	-1	-1	564	1	1
2	D	10	7	1	0	2292	-1	-1	1	1
4	O	4	31	4	0	-1	-1	1256	1	1
4	O	7	3	1	0	-1	-1	544	1	1
3	O	4	7	1	1	-1	364	-1	3	3
1	D	1	27	4	0	1748	-1	-1	3	3
3	O	8	41	1	2	-1	1099	-1	3	3
4	O	1	13	2	0	-1	-1	1697	1	1
3	O	9	3	4	0	-1	468	-1	3	3
2	D	2	18	2	0	1990	-1	-1	1	1
2	D	5	19	4	0	1287	-1	-1	1	1
2	D	2	14	2	0	305	-1	-1	1	1
4	O	2	39	3	0	-1	-1	101	1	1
1	D	7	2	1	0	125	-1	-1	3	3
2	D	2	36	1	0	1217	-1	-1	1	1
3	O	1	23	3	0	-1	1869	-1	3	3
3	O	6	39	3	0	-1	158	-1	3	3
1	D	6	25	3	0	1670	-1	-1	3	3
1	D	1	40	4	0	785	-1	-1	3	3
3	O	6	30	1	0	-1	2355	-1	3	3
1	D	3	4	4	0	636	-1	-1	3	3
3	O	9	11	1	0	-1	587	-1	3	3
1	D	1	39	4	0	2154	-1	-1	3	3
2	D	3	30	3	0	580	-1	-1	1	1
4	O	1	20	4	0	-1	-1	2347	1	1
1	D	6	32	2	0	1914	-1	-1	3	3
1	D	4	1	2	0	1917	-1	-1	3	3
4	O	2	10	2	0	-1	-1	1082	1	1
4	O	6	20	2	0	-1	-1	335	1	1
1	D	5	3	2	0	1485	-1	-1	3	3
3	O	10	34	2	0	-1	1413	-1	3	3
3	O	2	29	3	0	-1	161	-1	3	3
3	O	2	3	1	0	-1	904	-1	3	3
4	O	7	12	3	0	-1	-1	536	1	1
2	D	9	26	2	0	866	-1	-1	1	1
4	O	3	31	3	0	-1	-1	1746	1	1
1	D	8	35	1	0	1555	-1	-1	3	3
2	D	4	19	2	0	1422	-1	-1	1	1
3	O	5	2	3	0	-1	1346	-1	3	3
1	D	9	22	1	0	220	-1	-1	3	3
4	O	7	23	4	0	-1	-1	178	1	1
1	D	9	37	2	0	1043	-1	-1	3	3
3	O	9	2	4	0	-1	1737	-1	3	3
1	D	2	23	1	0	2241	-1	-1	3	3
1	D	6	7	2	0	1958	-1	-1	3	3
2	D	5	18	3	0	377	-1	-1	1	1
4	O	7	28	1	1	-1	-1	2345	1	1
4	O	9	1	1	0	-1	-1	1753	1	1
1	D	7	35	4	0	1079	-1	-1	3	3
4	O	3	21	3	0	-1	-1	1470	1	1
2	D	6	36	2	0	243	-1	-1	1	1
4	O	1	38	4	0	-1	-1	601	1	1
2	D	9	30	3	0	387	-1	-1	1	1
4	O	2	32	3	0	-1	-1	2210	1	1
1	D	7	22	2	0	1097	-1	-1	3	3
4	O	1	18	2	1	-1	-1	702	1	1
2	D	1	14	4	0	2164	-1	-1	1	1
2	D	4	33	2	0	1473	-1	-1	1	1
3	O	1	29	4	0	-1	944	-1	3	3
2	D	2	7	4	0	2519	-1	-1	1	1
2	D	2	34	2	0	1334	-1	-1	1	1
3	O	9	28	1	0	-1	2488	-1	3	3
4	O	7	34	4	0	-1	-1	394	1	1
4	O	8	2	3	0	-1	-1	516	1	1
2	D	1	15	2	0	283	-1	-1	1	1
1	D	1	1	3	0	126	-1	-1	3	3
4	O	6	27	2	0	-1	-1	807	1	1
3	O	9	23	1	0	-1	81	-1	3	3
3	O	5	37	3	0	-1	388	-1	3	3
3	O	8	28	2	0	-1	2502	-1	3	3
2	D	1	5	1	0	2143	-1	-1	1	1
4	O	6	5	3	0	-1	-1	1165	1	1
4	O	8	38	2	0	-1	-1	352	1	1
2	D	10	37	1	0	1084	-1	-1	1	1
2	D	6	18	1	0	1946	-1	-1	1	1
2	D	3	9	3	0	454	-1	-1	1	1
4	O	9	25	2	0	-1	-1	2144	1	1
1	D	10	30	1	0	291	-1	-1	3	3
4	O	7	24	1	0	-1	-1	1933	1	1
2	D	4	40	4	0	219	-1	-1	1	1
1	D	8	13	1	0	2311	-1	-1	3	3
4	O	10	21	3	0	-1	-1	204	1	1
4	O	6	8	4	0	-1	-1	1995	1	1
4	O	9	41	1	1	-1	-1	674	1	1
3	O	2	25	4	0	-1	18	-1	3	3
3	O	10	9	4	0	-1	2063	-1	3	3
4	O	7	20	1	0	-1	-1	821	1	1
1	D	10	38	3	0	532	-1	-1	3	3
3	O	1	42	2	0	-1	95	-1	3	3
2	D	3	39	1	0	2312	-1	-1	1	1
3	O	7	38	1	0	-1	1738	-1	3	3
4	O	4	4	3	0	-1	-1	2379	1	1
2	D	3	41	4	0	597	-1	-1	1	1
2	D	9	8	2	0	1108	-1	-1	1	1
2	D	8	34	4	0	388	-1	-1	1	1
3	O	5	35	2	1	-1	300	-1	3	3
4	O	5	7	1	0	-1	-1	753	1	1
4	O	4	26	3	0	-1	-1	393	1	1
1	D	10	29	2	0	912	-1	-1	3	3
4	O	2	31	1	2	-1	-1	647	1	1
3	O	4	22	1	0	-1	1656	-1	3	3
2	D	6	9	3	0	1109	-1	-1	1	1
4	O	10	8	4	0	-1	-1	1366	1	1
4	O	4	16	1	1	-1	-1	1292	1	1
2	D	2	38	4	0	2412	-1	-1	1	1
4	O	7	9	2	1	-1	-1	1462	1	1
2	D	5	13	3	0	1800	-1	-1	1	1
2	D	3	12	2	0	717	-1	-1	1	1
4	O	5	1	1	0	-1	-1	2160	1	1
2	D	6	15	1	0	1119	-1	-1	1	1
2	D	6	10	2	0	769	-1	-1	1	1
3	O	7	33	1	0	-1	1428	-1	3	3
2	D	9	29	2	0	2322	-1	-1	1	1
1	D	4	6	1	0	863	-1	-1	3	3
2	D	2	6	2	0	751	-1	-1	1	1
2	D	8	39	2	0	1537	-1	-1	1	1
2	D	2	5	2	0	804	-1	-1	1	1
2	D	5	33	1	0	87	-1	-1	1	1
3	O	1	36	3	0	-1	452	-1	3	3
2	D	10	24	3	0	2236	-1	-1	1	1
3	O	4	23	2	0	-1	1049	-1	3	3
2	D	2	30	3	0	1380	-1	-1	1	1
3	O	2	17	1	0	-1	1261	-1	3	3
4	O	9	17	1	0	-1	-1	2369	1	1
2	D	6	14	2	0	1505	-1	-1	1	1
1	D	9	7	4	0	1183	-1	-1	3	3
1	D	3	6	3	0	1439	-1	-1	3	3
1	D	4	24	1	0	2514	-1	-1	3	3
1	D	5	6	4	0	182	-1	-1	3	3
1	D	5	10	3	0	1012	-1	-1	3	3
4	O	2	27	1	0	-1	-1	2212	1	1
