YardCraneScheduling
number of cranes
1
number of containers
40
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
3	38	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
1	D	8	1	3	0	358	-1	-1	3	3
1	D	10	39	3	0	127	-1	-1	3	3
1	D	10	31	3	0	96	-1	-1	3	3
4	O	6	40	1	0	-1	-1	493	1	1
2	D	10	38	4	0	549	-1	-1	1	1
3	O	6	20	4	0	-1	379	-1	3	3
2	D	1	2	3	0	411	-1	-1	1	1
2	D	7	4	1	0	642	-1	-1	1	1
4	O	1	4	2	0	-1	-1	198	1	1
3	O	6	35	2	1	-1	37	-1	3	3
4	O	9	34	1	1	-1	-1	602	1	1
3	O	4	9	3	0	-1	110	-1	3	3
3	O	5	26	2	0	-1	50	-1	3	3
1	D	3	25	2	0	500	-1	-1	3	3
1	D	10	2	4	0	613	-1	-1	3	3
3	O	5	10	2	1	-1	422	-1	3	3
3	O	6	19	3	0	-1	141	-1	3	3
3	O	9	24	4	0	-1	19	-1	3	3
2	D	2	41	2	0	85	-1	-1	1	1
3	O	6	21	1	1	-1	196	-1	3	3
3	O	7	37	4	0	-1	107	-1	3	3
3	O	10	18	3	0	-1	369	-1	3	3
4	O	5	30	4	0	-1	-1	440	1	1
4	O	9	40	3	0	-1	-1	392	1	1
1	D	1	20	3	0	64	-1	-1	3	3
4	O	9	20	1	0	-1	-1	71	1	1
4	O	6	3	2	0	-1	-1	245	1	1
3	O	9	22	4	0	-1	586	-1	3	3
2	D	1	9	4	0	487	-1	-1	1	1
4	O	3	13	2	0	-1	-1	616	1	1
3	O	5	12	3	0	-1	490	-1	3	3
2	D	2	42	2	0	443	-1	-1	1	1
1	D	10	9	3	0	50	-1	-1	3	3
4	O	7	29	1	2	-1	-1	531	1	1
2	D	5	16	3	0	605	-1	-1	1	1
2	D	9	32	2	0	143	-1	-1	1	1
3	O	4	27	3	0	-1	251	-1	3	3
4	O	8	19	2	0	-1	-1	254	1	1
3	O	3	2	2	0	-1	243	-1	3	3
3	O	5	40	3	0	-1	649	-1	3	3
