YardCraneScheduling
number of cranes
1
number of containers
100
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
1	40	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
1	D	9	32	3	0	792	-1	-1	3	3
3	O	9	36	2	0	-1	132	-1	3	3
4	O	7	42	1	1	-1	-1	961	1	1
1	D	1	26	4	0	1525	-1	-1	3	3
2	D	1	15	3	0	442	-1	-1	1	1
1	D	5	29	4	0	710	-1	-1	3	3
1	D	1	37	1	0	10	-1	-1	3	3
4	O	8	31	3	0	-1	-1	1265	1	1
4	O	4	30	1	0	-1	-1	277	1	1
4	O	7	29	4	0	-1	-1	609	1	1
2	D	3	14	3	0	643	-1	-1	1	1
2	D	10	42	3	0	243	-1	-1	1	1
2	D	9	7	2	0	432	-1	-1	1	1
1	D	6	2	3	0	1404	-1	-1	3	3
1	D	10	30	3	0	1456	-1	-1	3	3
4	O	10	37	3	0	-1	-1	601	1	1
1	D	7	25	4	0	438	-1	-1	3	3
4	O	7	38	3	0	-1	-1	1160	1	1
4	O	3	32	2	1	-1	-1	329	1	1
2	D	4	41	2	0	716	-1	-1	1	1
4	O	5	7	4	0	-1	-1	1449	1	1
2	D	6	30	2	0	1058	-1	-1	1	1
1	D	3	11	3	0	747	-1	-1	3	3
2	D	7	40	2	0	467	-1	-1	1	1
2	D	9	31	3	0	1678	-1	-1	1	1
1	D	7	17	2	0	1151	-1	-1	3	3
3	O	7	35	4	0	-1	948	-1	3	3
4	O	1	7	2	1	-1	-1	96	1	1
4	O	3	8	2	0	-1	-1	1483	1	1
2	D	5	39	3	0	1125	-1	-1	1	1
2	D	2	18	2	0	237	-1	-1	1	1
4	O	10	29	1	0	-1	-1	913	1	1
3	O	1	33	4	0	-1	1152	-1	3	3
3	O	3	2	1	0	-1	1080	-1	3	3
1	D	9	23	4	0	1020	-1	-1	3	3
1	D	1	14	2	0	463	-1	-1	3	3
1	D	2	41	1	0	781	-1	-1	3	3
1	D	8	14	1	0	1474	-1	-1	3	3
4	O	3	23	2	0	-1	-1	558	1	1
2	D	3	22	1	0	1360	-1	-1	1	1
3	O	6	21	3	0	-1	1012	-1	3	3
1	D	3	36	2	0	808	-1	-1	3	3
2	D	7	7	4	0	284	-1	-1	1	1
1	D	2	24	2	0	323	-1	-1	3	3
1	D	1	30	3	0	439	-1	-1	3	3
1	D	2	32	3	0	757	-1	-1	3	3
4	O	4	36	1	1	-1	-1	1158	1	1
4	O	2	2	2	0	-1	-1	1096	1	1
1	D	8	35	1	0	385	-1	-1	3	3
4	O	6	11	2	0	-1	-1	1346	1	1
3	O	7	8	1	2	-1	421	-1	3	3
3	O	3	33	3	0	-1	496	-1	3	3
1	D	1	16	3	0	693	-1	-1	3	3
2	D	9	14	4	0	983	-1	-1	1	1
4	O	5	13	2	0	-1	-1	1329	1	1
4	O	5	32	4	0	-1	-1	44	1	1
3	O	9	5	3	0	-1	407	-1	3	3
2	D	3	18	3	0	225	-1	-1	1	1
2	D	6	19	4	0	1386	-1	-1	1	1
1	D	7	21	2	0	549	-1	-1	3	3
2	D	7	13	4	0	338	-1	-1	1	1
3	O	6	29	4	0	-1	1265	-1	3	3
1	D	9	6	2	0	124	-1	-1	3	3
4	O	1	28	2	0	-1	-1	111	1	1
1	D	2	21	3	0	1504	-1	-1	3	3
1	D	6	22	2	0	954	-1	-1	3	3
4	O	6	31	2	0	-1	-1	1323	1	1
4	O	8	20	2	1	-1	-1	1605	1	1
1	D	4	2	2	0	968	-1	-1	3	3
4	O	10	13	1	1	-1	-1	756	1	1
3	O	10	38	1	0	-1	1102	-1	3	3
4	O	3	4	2	0	-1	-1	1038	1	1
2	D	1	17	3	0	783	-1	-1	1	1
2	D	6	12	1	0	1643	-1	-1	1	1
1	D	3	41	1	0	1356	-1	-1	3	3
1	D	10	33	4	0	1445	-1	-1	3	3
1	D	4	6	3	0	1659	-1	-1	3	3
3	O	8	40	3	0	-1	1350	-1	3	3
4	O	7	3	4	0	-1	-1	254	1	1
3	O	1	12	3	0	-1	10	-1	3	3
4	O	1	3	2	0	-1	-1	1449	1	1
2	D	9	42	3	0	1215	-1	-1	1	1
4	O	5	9	4	0	-1	-1	1630	1	1
3	O	8	7	2	1	-1	1510	-1	3	3
4	O	8	24	2	0	-1	-1	1653	1	1
2	D	3	30	4	0	346	-1	-1	1	1
1	D	1	9	4	0	355	-1	-1	3	3
1	D	8	11	4	0	240	-1	-1	3	3
3	O	3	26	3	0	-1	707	-1	3	3
2	D	6	15	3	0	1579	-1	-1	1	1
3	O	6	25	4	0	-1	955	-1	3	3
1	D	3	24	2	0	1555	-1	-1	3	3
3	O	1	8	3	0	-1	366	-1	3	3
4	O	9	10	1	0	-1	-1	376	1	1
1	D	8	30	2	0	1565	-1	-1	3	3
3	O	6	35	2	0	-1	53	-1	3	3
4	O	8	37	2	0	-1	-1	82	1	1
2	D	10	23	2	0	522	-1	-1	1	1
2	D	5	23	2	0	195	-1	-1	1	1
1	D	6	27	2	0	134	-1	-1	3	3
