YardCraneScheduling
number of cranes
1
number of containers
100
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
3	10	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
3	O	7	14	1	0	-1	1230	-1	3	3
4	O	4	1	4	0	-1	-1	1632	1	1
4	O	1	40	3	0	-1	-1	720	1	1
4	O	4	22	4	0	-1	-1	822	1	1
3	O	7	4	4	0	-1	718	-1	3	3
3	O	9	12	4	0	-1	650	-1	3	3
2	D	3	14	1	0	708	-1	-1	1	1
3	O	1	3	4	0	-1	1192	-1	3	3
1	D	7	1	1	0	718	-1	-1	3	3
2	D	8	36	3	0	1051	-1	-1	1	1
2	D	9	11	2	0	1227	-1	-1	1	1
1	D	4	13	2	0	600	-1	-1	3	3
2	D	3	17	3	0	627	-1	-1	1	1
2	D	5	3	4	0	104	-1	-1	1	1
1	D	8	30	2	0	825	-1	-1	3	3
3	O	2	9	2	0	-1	1040	-1	3	3
4	O	2	19	2	1	-1	-1	760	1	1
4	O	10	39	1	2	-1	-1	804	1	1
1	D	7	28	4	0	877	-1	-1	3	3
1	D	7	24	2	0	368	-1	-1	3	3
3	O	8	40	2	0	-1	1299	-1	3	3
3	O	3	23	1	2	-1	1548	-1	3	3
1	D	1	13	1	0	789	-1	-1	3	3
4	O	7	32	1	0	-1	-1	256	1	1
3	O	8	21	4	0	-1	375	-1	3	3
1	D	9	10	2	0	1337	-1	-1	3	3
2	D	8	42	4	0	1549	-1	-1	1	1
3	O	2	21	3	0	-1	885	-1	3	3
3	O	3	15	4	0	-1	254	-1	3	3
3	O	8	26	2	0	-1	1433	-1	3	3
1	D	1	32	1	0	37	-1	-1	3	3
3	O	8	4	3	0	-1	1063	-1	3	3
1	D	4	5	2	0	1639	-1	-1	3	3
1	D	9	30	2	0	689	-1	-1	3	3
2	D	3	16	3	0	1401	-1	-1	1	1
4	O	4	33	1	0	-1	-1	1648	1	1
4	O	5	10	4	0	-1	-1	178	1	1
4	O	9	5	2	0	-1	-1	910	1	1
2	D	4	29	2	0	186	-1	-1	1	1
3	O	8	15	4	0	-1	848	-1	3	3
2	D	4	4	1	0	1142	-1	-1	1	1
3	O	7	12	4	0	-1	306	-1	3	3
4	O	4	39	3	0	-1	-1	914	1	1
1	D	3	19	1	0	1234	-1	-1	3	3
3	O	8	37	4	0	-1	851	-1	3	3
4	O	2	26	4	0	-1	-1	739	1	1
2	D	6	8	3	0	1498	-1	-1	1	1
4	O	3	21	3	0	-1	-1	945	1	1
4	O	1	5	2	1	-1	-1	359	1	1
3	O	10	17	4	0	-1	559	-1	3	3
2	D	9	13	3	0	366	-1	-1	1	1
4	O	4	10	1	2	-1	-1	691	1	1
4	O	1	26	2	0	-1	-1	216	1	1
4	O	2	2	4	0	-1	-1	457	1	1
4	O	4	41	1	1	-1	-1	512	1	1
3	O	10	28	2	0	-1	706	-1	3	3
3	O	5	14	4	0	-1	1372	-1	3	3
2	D	3	3	1	0	452	-1	-1	1	1
1	D	10	41	3	0	184	-1	-1	3	3
3	O	10	1	3	0	-1	999	-1	3	3
1	D	8	5	2	0	601	-1	-1	3	3
3	O	2	15	4	0	-1	1093	-1	3	3
4	O	2	14	2	0	-1	-1	827	1	1
3	O	2	36	3	0	-1	345	-1	3	3
4	O	5	39	2	0	-1	-1	171	1	1
1	D	9	34	3	0	1569	-1	-1	3	3
3	O	7	31	3	0	-1	1359	-1	3	3
4	O	5	28	2	0	-1	-1	1492	1	1
1	D	3	6	4	0	401	-1	-1	3	3
2	D	6	27	1	0	1650	-1	-1	1	1
3	O	10	34	4	0	-1	1650	-1	3	3
1	D	5	12	4	0	1325	-1	-1	3	3
1	D	6	9	3	0	489	-1	-1	3	3
1	D	7	8	2	0	357	-1	-1	3	3
3	O	4	25	2	1	-1	415	-1	3	3
3	O	3	29	1	0	-1	1084	-1	3	3
2	D	10	21	4	0	612	-1	-1	1	1
1	D	8	35	4	0	1171	-1	-1	3	3
4	O	6	16	4	0	-1	-1	921	1	1
4	O	9	8	2	0	-1	-1	862	1	1
4	O	3	22	4	0	-1	-1	665	1	1
2	D	3	25	4	0	981	-1	-1	1	1
2	D	4	9	4	0	1016	-1	-1	1	1
4	O	8	33	2	0	-1	-1	1129	1	1
4	O	3	11	3	0	-1	-1	1454	1	1
2	D	4	35	3	0	1584	-1	-1	1	1
2	D	10	4	4	0	1608	-1	-1	1	1
2	D	5	27	4	0	1471	-1	-1	1	1
4	O	5	36	1	0	-1	-1	1529	1	1
3	O	1	21	2	0	-1	364	-1	3	3
1	D	6	11	3	0	843	-1	-1	3	3
3	O	9	2	3	0	-1	1162	-1	3	3
4	O	2	12	4	0	-1	-1	1230	1	1
3	O	2	28	2	0	-1	217	-1	3	3
3	O	10	3	1	0	-1	1543	-1	3	3
1	D	6	32	3	0	185	-1	-1	3	3
4	O	3	4	4	0	-1	-1	1380	1	1
1	D	6	12	3	0	426	-1	-1	3	3
4	O	1	20	4	0	-1	-1	1176	1	1
2	D	1	34	1	0	726	-1	-1	1	1
