YardCraneScheduling
number of cranes
1
number of containers
100
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
5	21	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
2	D	9	10	2	0	572	-1	-1	1	1
3	O	2	22	4	0	-1	1266	-1	3	3
3	O	9	40	1	0	-1	766	-1	3	3
3	O	9	24	1	0	-1	395	-1	3	3
4	O	6	40	2	0	-1	-1	968	1	1
4	O	7	33	2	1	-1	-1	39	1	1
3	O	8	5	2	1	-1	282	-1	3	3
1	D	6	9	1	0	58	-1	-1	3	3
2	D	2	18	3	0	1538	-1	-1	1	1
1	D	9	14	3	0	32	-1	-1	3	3
4	O	6	13	3	0	-1	-1	1078	1	1
2	D	3	42	4	0	1434	-1	-1	1	1
3	O	9	29	4	0	-1	1505	-1	3	3
4	O	6	25	3	0	-1	-1	1221	1	1
1	D	10	28	3	0	66	-1	-1	3	3
1	D	2	42	1	0	268	-1	-1	3	3
4	O	5	38	3	0	-1	-1	807	1	1
3	O	2	3	3	0	-1	1206	-1	3	3
2	D	9	7	4	0	1228	-1	-1	1	1
4	O	10	1	2	0	-1	-1	358	1	1
4	O	1	11	3	0	-1	-1	73	1	1
3	O	1	28	4	0	-1	630	-1	3	3
3	O	5	33	3	0	-1	505	-1	3	3
1	D	3	40	4	0	1549	-1	-1	3	3
4	O	3	23	2	0	-1	-1	1590	1	1
1	D	2	25	1	0	103	-1	-1	3	3
2	D	10	20	2	0	454	-1	-1	1	1
4	O	5	12	4	0	-1	-1	1105	1	1
1	D	7	28	2	0	1318	-1	-1	3	3
4	O	2	14	3	0	-1	-1	1062	1	1
2	D	4	22	4	0	300	-1	-1	1	1
3	O	2	11	4	0	-1	321	-1	3	3
3	O	9	11	4	0	-1	1273	-1	3	3
1	D	7	19	1	0	925	-1	-1	3	3
3	O	10	14	3	0	-1	1284	-1	3	3
2	D	7	17	4	0	934	-1	-1	1	1
3	O	1	16	3	0	-1	414	-1	3	3
2	D	3	9	3	0	1671	-1	-1	1	1
2	D	7	6	1	0	1087	-1	-1	1	1
1	D	10	17	2	0	1448	-1	-1	3	3
4	O	1	8	3	0	-1	-1	1225	1	1
1	D	1	36	4	0	486	-1	-1	3	3
4	O	10	29	1	0	-1	-1	1344	1	1
1	D	8	34	3	0	1374	-1	-1	3	3
3	O	7	4	1	0	-1	540	-1	3	3
3	O	8	35	4	0	-1	1265	-1	3	3
1	D	3	1	1	0	1200	-1	-1	3	3
4	O	10	35	1	2	-1	-1	38	1	1
4	O	2	37	1	2	-1	-1	683	1	1
2	D	3	33	4	0	1653	-1	-1	1	1
4	O	8	30	4	0	-1	-1	100	1	1
1	D	5	28	2	0	606	-1	-1	3	3
3	O	3	8	4	0	-1	1076	-1	3	3
2	D	1	7	1	0	592	-1	-1	1	1
4	O	5	21	1	1	-1	-1	1394	1	1
1	D	8	11	4	0	1663	-1	-1	3	3
4	O	2	26	1	0	-1	-1	778	1	1
1	D	7	5	2	0	1467	-1	-1	3	3
2	D	5	26	3	0	1274	-1	-1	1	1
4	O	4	2	2	0	-1	-1	729	1	1
4	O	7	8	1	0	-1	-1	590	1	1
1	D	1	23	3	0	97	-1	-1	3	3
2	D	4	7	3	0	261	-1	-1	1	1
4	O	5	37	2	0	-1	-1	413	1	1
4	O	4	37	2	0	-1	-1	408	1	1
3	O	4	20	3	0	-1	176	-1	3	3
4	O	7	25	1	0	-1	-1	520	1	1
4	O	1	22	4	0	-1	-1	82	1	1
1	D	3	27	3	0	360	-1	-1	3	3
1	D	6	32	2	0	830	-1	-1	3	3
2	D	4	42	3	0	649	-1	-1	1	1
1	D	9	32	1	0	339	-1	-1	3	3
4	O	6	27	2	0	-1	-1	1159	1	1
1	D	10	40	3	0	1546	-1	-1	3	3
2	D	10	13	4	0	6	-1	-1	1	1
1	D	4	24	2	0	257	-1	-1	3	3
2	D	8	10	4	0	812	-1	-1	1	1
1	D	4	8	4	0	1069	-1	-1	3	3
2	D	10	22	3	0	679	-1	-1	1	1
3	O	9	1	3	0	-1	111	-1	3	3
3	O	5	29	3	0	-1	902	-1	3	3
4	O	1	1	3	0	-1	-1	384	1	1
1	D	9	13	2	0	574	-1	-1	3	3
1	D	8	31	1	0	440	-1	-1	3	3
1	D	7	21	3	0	403	-1	-1	3	3
1	D	5	17	4	0	1361	-1	-1	3	3
1	D	5	22	4	0	1514	-1	-1	3	3
2	D	2	24	3	0	409	-1	-1	1	1
4	O	6	18	3	0	-1	-1	1155	1	1
4	O	9	37	4	0	-1	-1	743	1	1
2	D	8	13	2	0	678	-1	-1	1	1
4	O	4	30	3	0	-1	-1	1675	1	1
2	D	8	38	3	0	563	-1	-1	1	1
3	O	8	12	1	0	-1	1009	-1	3	3
3	O	9	3	4	0	-1	1019	-1	3	3
3	O	4	27	2	1	-1	902	-1	3	3
1	D	3	14	3	0	15	-1	-1	3	3
3	O	10	9	1	0	-1	557	-1	3	3
3	O	9	12	1	2	-1	1432	-1	3	3
3	O	5	14	3	0	-1	1674	-1	3	3
