YardCraneScheduling
number of cranes
1
number of containers
200
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
5	29	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
2	D	8	14	3	0	990	-1	-1	1	1
1	D	8	15	2	0	919	-1	-1	3	3
2	D	10	27	1	0	887	-1	-1	1	1
3	O	9	30	4	0	-1	2570	-1	3	3
3	O	10	11	4	0	-1	1796	-1	3	3
2	D	5	23	2	0	348	-1	-1	1	1
1	D	1	31	2	0	722	-1	-1	3	3
4	O	10	34	4	0	-1	-1	2618	1	1
4	O	4	7	3	0	-1	-1	1571	1	1
2	D	8	8	3	0	2092	-1	-1	1	1
4	O	4	24	3	0	-1	-1	1184	1	1
3	O	10	35	4	0	-1	3230	-1	3	3
1	D	3	26	2	0	1479	-1	-1	3	3
1	D	8	12	1	0	371	-1	-1	3	3
2	D	5	20	2	0	618	-1	-1	1	1
1	D	3	41	4	0	2893	-1	-1	3	3
2	D	10	30	4	0	397	-1	-1	1	1
4	O	1	24	3	0	-1	-1	864	1	1
3	O	2	25	1	1	-1	252	-1	3	3
2	D	6	20	1	0	2606	-1	-1	1	1
2	D	4	27	2	0	1905	-1	-1	1	1
3	O	10	21	2	0	-1	1590	-1	3	3
2	D	6	42	4	0	2078	-1	-1	1	1
2	D	5	9	1	0	2196	-1	-1	1	1
2	D	4	18	3	0	2200	-1	-1	1	1
1	D	7	10	4	0	3035	-1	-1	3	3
2	D	4	21	3	0	1734	-1	-1	1	1
4	O	3	22	1	1	-1	-1	2446	1	1
3	O	9	26	4	0	-1	391	-1	3	3
4	O	1	38	1	0	-1	-1	1905	1	1
3	O	10	23	1	0	-1	3157	-1	3	3
3	O	9	3	3	0	-1	3309	-1	3	3
2	D	5	32	3	0	190	-1	-1	1	1
2	D	6	37	3	0	995	-1	-1	1	1
2	D	1	4	1	0	1925	-1	-1	1	1
3	O	4	29	4	0	-1	2558	-1	3	3
4	O	1	42	2	0	-1	-1	2539	1	1
2	D	9	2	1	0	3041	-1	-1	1	1
1	D	10	6	1	0	829	-1	-1	3	3
1	D	1	8	1	0	981	-1	-1	3	3
1	D	3	30	3	0	2689	-1	-1	3	3
1	D	6	4	4	0	1824	-1	-1	3	3
1	D	7	38	4	0	2291	-1	-1	3	3
2	D	3	4	2	0	2156	-1	-1	1	1
2	D	1	41	2	0	2604	-1	-1	1	1
1	D	10	2	3	0	830	-1	-1	3	3
3	O	6	7	3	0	-1	2396	-1	3	3
2	D	5	5	1	0	1121	-1	-1	1	1
1	D	6	13	3	0	2938	-1	-1	3	3
