YardCraneScheduling
number of cranes
1
number of containers
50
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
7	16	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
3	O	8	13	2	0	-1	178	-1	3	3
3	O	8	12	1	0	-1	197	-1	3	3
1	D	6	23	4	0	250	-1	-1	3	3
3	O	6	5	1	0	-1	390	-1	3	3
1	D	4	28	3	0	653	-1	-1	3	3
3	O	9	1	4	0	-1	539	-1	3	3
4	O	2	2	1	0	-1	-1	710	1	1
2	D	6	33	3	0	51	-1	-1	1	1
3	O	3	6	1	0	-1	338	-1	3	3
4	O	6	32	2	1	-1	-1	613	1	1
4	O	4	12	1	0	-1	-1	286	1	1
1	D	8	31	1	0	174	-1	-1	3	3
4	O	2	41	4	0	-1	-1	187	1	1
1	D	5	1	4	0	187	-1	-1	3	3
1	D	3	32	4	0	344	-1	-1	3	3
4	O	6	9	4	0	-1	-1	431	1	1
3	O	5	32	1	2	-1	11	-1	3	3
2	D	3	40	2	0	753	-1	-1	1	1
4	O	7	19	1	1	-1	-1	188	1	1
4	O	4	38	3	0	-1	-1	821	1	1
4	O	2	27	3	0	-1	-1	831	1	1
1	D	1	15	1	0	21	-1	-1	3	3
3	O	9	11	2	0	-1	439	-1	3	3
1	D	6	30	1	0	261	-1	-1	3	3
4	O	6	28	1	1	-1	-1	22	1	1
3	O	2	37	4	0	-1	627	-1	3	3
2	D	5	33	3	0	220	-1	-1	1	1
4	O	6	6	1	0	-1	-1	563	1	1
1	D	10	28	1	0	411	-1	-1	3	3
2	D	2	35	4	0	247	-1	-1	1	1
2	D	4	31	1	0	218	-1	-1	1	1
4	O	8	42	3	0	-1	-1	105	1	1
4	O	6	17	1	0	-1	-1	285	1	1
4	O	1	18	3	0	-1	-1	612	1	1
3	O	4	22	4	0	-1	523	-1	3	3
1	D	3	41	2	0	28	-1	-1	3	3
3	O	1	24	2	1	-1	103	-1	3	3
4	O	1	40	1	1	-1	-1	440	1	1
4	O	2	28	2	1	-1	-1	439	1	1
2	D	3	36	1	0	172	-1	-1	1	1
3	O	9	26	2	0	-1	519	-1	3	3
3	O	2	29	4	0	-1	398	-1	3	3
2	D	1	41	2	0	548	-1	-1	1	1
1	D	4	20	1	0	157	-1	-1	3	3
2	D	1	19	2	0	606	-1	-1	1	1
2	D	8	35	3	0	511	-1	-1	1	1
2	D	3	28	1	0	727	-1	-1	1	1
1	D	1	22	3	0	726	-1	-1	3	3
1	D	9	37	1	0	417	-1	-1	3	3
1	D	3	27	4	0	109	-1	-1	3	3
