YardCraneScheduling
number of cranes
1
number of containers
40
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
1	16	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
1	D	5	31	1	0	84	-1	-1	3	3
2	D	2	2	2	0	117	-1	-1	1	1
1	D	9	36	3	0	20	-1	-1	3	3
1	D	7	37	3	0	116	-1	-1	3	3
2	D	8	10	3	0	18	-1	-1	1	1
3	O	6	12	2	0	-1	661	-1	3	3
1	D	3	35	3	0	31	-1	-1	3	3
1	D	5	6	2	0	148	-1	-1	3	3
2	D	1	9	4	0	143	-1	-1	1	1
1	D	6	26	3	0	35	-1	-1	3	3
3	O	7	34	1	2	-1	372	-1	3	3
3	O	5	25	1	2	-1	446	-1	3	3
3	O	10	34	4	0	-1	57	-1	3	3
4	O	5	32	3	0	-1	-1	615	1	1
1	D	2	31	4	0	146	-1	-1	3	3
2	D	9	6	2	0	152	-1	-1	1	1
1	D	4	15	2	0	61	-1	-1	3	3
3	O	6	10	2	0	-1	487	-1	3	3
2	D	4	6	2	0	70	-1	-1	1	1
3	O	9	23	1	1	-1	592	-1	3	3
1	D	4	5	1	0	137	-1	-1	3	3
2	D	9	30	4	0	104	-1	-1	1	1
4	O	6	13	3	0	-1	-1	196	1	1
3	O	8	9	4	0	-1	657	-1	3	3
1	D	7	12	2	0	152	-1	-1	3	3
1	D	5	34	4	0	143	-1	-1	3	3
1	D	6	11	2	0	4	-1	-1	3	3
2	D	3	20	4	0	3	-1	-1	1	1
2	D	4	13	1	0	4	-1	-1	1	1
4	O	2	4	2	0	-1	-1	411	1	1
1	D	1	3	3	0	88	-1	-1	3	3
4	O	4	41	1	2	-1	-1	265	1	1
2	D	10	8	1	0	146	-1	-1	1	1
3	O	6	33	4	0	-1	353	-1	3	3
3	O	7	36	2	0	-1	470	-1	3	3
3	O	2	14	4	0	-1	414	-1	3	3
3	O	10	19	3	0	-1	257	-1	3	3
3	O	3	7	3	0	-1	226	-1	3	3
4	O	7	29	2	0	-1	-1	604	1	1
3	O	6	41	4	0	-1	500	-1	3	3
