YardCraneScheduling
number of cranes
1
number of containers
100
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
6	7	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
3	O	4	37	3	0	-1	159	-1	1	1
1	D	7	19	4	0	1573	-1	-1	1	1
2	D	5	19	3	0	227	-1	-1	1	1
3	O	4	36	2	0	-1	461	-1	1	1
1	D	4	22	2	0	289	-1	-1	1	1
2	D	7	18	3	0	1439	-1	-1	1	1
2	D	7	16	3	0	929	-1	-1	1	1
3	O	8	19	2	0	-1	310	-1	1	1
2	D	10	25	1	0	61	-1	-1	1	1
3	O	4	19	1	0	-1	833	-1	1	1
4	O	2	26	4	0	-1	-1	774	1	1
2	D	5	28	1	0	730	-1	-1	1	1
1	D	9	8	3	0	944	-1	-1	1	1
2	D	2	21	3	0	1454	-1	-1	1	1
3	O	9	23	4	0	-1	1621	-1	1	1
1	D	5	16	3	0	626	-1	-1	1	1
3	O	8	10	4	0	-1	758	-1	1	1
4	O	10	18	2	0	-1	-1	384	1	1
1	D	2	32	3	0	1050	-1	-1	1	1
2	D	3	11	4	0	1188	-1	-1	1	1
4	O	6	21	3	0	-1	-1	1420	1	1
3	O	9	13	2	0	-1	1397	-1	1	1
1	D	8	6	1	0	677	-1	-1	1	1
3	O	10	22	3	0	-1	1465	-1	1	1
1	D	8	11	1	0	1514	-1	-1	1	1
1	D	10	26	1	0	916	-1	-1	1	1
4	O	10	6	1	0	-1	-1	1660	1	1
2	D	9	15	3	0	803	-1	-1	1	1
1	D	6	25	4	0	1104	-1	-1	1	1
1	D	5	2	4	0	831	-1	-1	1	1
3	O	9	34	2	0	-1	1029	-1	1	1
2	D	10	36	3	0	169	-1	-1	1	1
3	O	8	37	4	0	-1	1199	-1	1	1
1	D	7	22	2	0	528	-1	-1	1	1
2	D	6	5	1	0	794	-1	-1	1	1
1	D	2	38	3	0	27	-1	-1	1	1
1	D	5	18	4	0	1644	-1	-1	1	1
3	O	1	21	4	0	-1	1024	-1	1	1
4	O	6	29	1	0	-1	-1	554	1	1
2	D	10	28	2	0	207	-1	-1	1	1
2	D	4	4	2	0	1343	-1	-1	1	1
1	D	1	26	2	0	655	-1	-1	1	1
1	D	1	35	4	0	1308	-1	-1	1	1
1	D	7	7	2	0	52	-1	-1	1	1
4	O	5	31	2	1	-1	-1	1185	1	1
4	O	4	9	4	0	-1	-1	223	1	1
3	O	3	37	3	0	-1	1329	-1	1	1
2	D	10	41	1	0	62	-1	-1	1	1
1	D	3	40	4	0	1667	-1	-1	1	1
3	O	1	4	1	0	-1	1276	-1	1	1
2	D	4	13	2	0	1569	-1	-1	1	1
2	D	4	21	2	0	1283	-1	-1	1	1
4	O	9	29	3	0	-1	-1	1185	1	1
2	D	10	7	4	0	1082	-1	-1	1	1
1	D	4	28	1	0	758	-1	-1	1	1
4	O	2	10	3	0	-1	-1	385	1	1
1	D	7	23	4	0	119	-1	-1	1	1
1	D	6	4	3	0	232	-1	-1	1	1
3	O	1	15	4	0	-1	893	-1	1	1
4	O	3	15	1	1	-1	-1	1446	1	1
2	D	2	8	2	0	877	-1	-1	1	1
1	D	7	25	4	0	893	-1	-1	1	1
2	D	2	42	2	0	1365	-1	-1	1	1
2	D	5	21	2	0	1489	-1	-1	1	1
4	O	9	31	4	0	-1	-1	1611	1	1
4	O	4	33	4	0	-1	-1	1220	1	1
2	D	5	10	1	0	787	-1	-1	1	1
4	O	1	1	3	0	-1	-1	392	1	1
1	D	8	2	3	0	680	-1	-1	1	1
2	D	2	15	1	0	1213	-1	-1	1	1
1	D	8	30	3	0	460	-1	-1	1	1
1	D	4	16	4	0	290	-1	-1	1	1
3	O	1	39	3	0	-1	1251	-1	1	1
4	O	8	20	3	0	-1	-1	1138	1	1
4	O	3	20	2	0	-1	-1	395	1	1
2	D	9	27	1	0	164	-1	-1	1	1
1	D	9	5	2	0	1069	-1	-1	1	1
4	O	6	1	4	0	-1	-1	1510	1	1
1	D	2	28	4	0	332	-1	-1	1	1
4	O	5	42	1	0	-1	-1	515	1	1
1	D	2	12	1	0	265	-1	-1	1	1
1	D	4	2	2	0	374	-1	-1	1	1
1	D	2	22	2	0	368	-1	-1	1	1
4	O	4	15	3	0	-1	-1	922	1	1
4	O	9	9	4	0	-1	-1	443	1	1
3	O	5	6	3	0	-1	713	-1	1	1
2	D	4	34	2	0	309	-1	-1	1	1
4	O	10	19	1	0	-1	-1	1240	1	1
3	O	7	15	3	0	-1	1311	-1	1	1
3	O	5	39	3	0	-1	1001	-1	1	1
1	D	5	30	3	0	365	-1	-1	1	1
1	D	10	20	4	0	1312	-1	-1	1	1
1	D	3	4	2	0	1564	-1	-1	1	1
2	D	1	28	1	0	1054	-1	-1	1	1
4	O	7	41	2	0	-1	-1	788	1	1
4	O	8	4	1	2	-1	-1	1063	1	1
3	O	10	38	3	0	-1	328	-1	1	1
1	D	6	13	1	0	1579	-1	-1	1	1
3	O	1	7	3	0	-1	1075	-1	1	1
1	D	6	2	4	0	579	-1	-1	1	1
