YardCraneScheduling
number of cranes
1
number of containers
150
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
2	5	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
1	D	2	7	2	0	1835	-1	-1	1	1
2	D	1	36	1	0	2071	-1	-1	1	1
2	D	6	7	3	0	2009	-1	-1	1	1
1	D	10	2	1	0	2434	-1	-1	1	1
1	D	5	38	1	0	130	-1	-1	1	1
2	D	10	39	3	0	441	-1	-1	1	1
3	O	2	10	2	0	-1	2018	-1	1	1
1	D	3	30	2	0	186	-1	-1	1	1
2	D	3	23	1	0	1678	-1	-1	1	1
2	D	6	24	3	0	1308	-1	-1	1	1
1	D	10	24	1	0	1235	-1	-1	1	1
1	D	7	35	3	0	1897	-1	-1	1	1
1	D	3	25	1	0	920	-1	-1	1	1
4	O	10	15	2	0	-1	-1	964	1	1
4	O	6	40	4	0	-1	-1	516	1	1
4	O	10	3	1	2	-1	-1	2448	1	1
1	D	9	30	2	0	1868	-1	-1	1	1
2	D	3	4	3	0	1637	-1	-1	1	1
3	O	9	35	3	0	-1	50	-1	1	1
3	O	2	24	3	0	-1	1214	-1	1	1
2	D	6	8	2	0	1237	-1	-1	1	1
2	D	9	1	1	0	1393	-1	-1	1	1
4	O	3	2	4	0	-1	-1	1484	1	1
3	O	7	28	4	0	-1	2029	-1	1	1
2	D	5	11	1	0	864	-1	-1	1	1
1	D	1	1	4	0	672	-1	-1	1	1
3	O	5	9	1	1	-1	92	-1	1	1
4	O	8	24	4	0	-1	-1	2277	1	1
4	O	4	12	3	0	-1	-1	1782	1	1
4	O	4	17	4	0	-1	-1	1303	1	1
1	D	5	18	4	0	356	-1	-1	1	1
2	D	5	32	4	0	1717	-1	-1	1	1
3	O	1	3	4	0	-1	93	-1	1	1
4	O	4	18	1	1	-1	-1	1177	1	1
2	D	8	41	1	0	296	-1	-1	1	1
4	O	2	34	2	0	-1	-1	16	1	1
2	D	5	16	1	0	1400	-1	-1	1	1
4	O	4	9	3	0	-1	-1	1963	1	1
