YardCraneScheduling
number of cranes
1
number of containers
50
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
4	18	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
2	D	7	24	1	0	1384	-1	-1	1	1
1	D	10	6	1	0	758	-1	-1	1	1
2	D	10	35	4	0	1161	-1	-1	1	1
3	O	3	17	1	0	-1	409	-1	1	1
3	O	3	25	3	0	-1	310	-1	1	1
4	O	5	39	3	0	-1	-1	377	1	1
4	O	7	27	2	0	-1	-1	48	1	1
2	D	3	28	1	0	391	-1	-1	1	1
3	O	5	18	3	0	-1	383	-1	1	1
3	O	6	16	1	0	-1	626	-1	1	1
4	O	9	11	1	1	-1	-1	484	1	1
4	O	10	23	2	0	-1	-1	812	1	1
1	D	3	23	2	0	1083	-1	-1	1	1
2	D	6	27	3	0	1328	-1	-1	1	1
1	D	2	33	2	0	704	-1	-1	1	1
2	D	3	26	2	0	1280	-1	-1	1	1
3	O	1	10	3	0	-1	450	-1	1	1
4	O	7	17	1	0	-1	-1	349	1	1
1	D	3	41	3	0	1117	-1	-1	1	1
4	O	7	3	1	0	-1	-1	58	1	1
3	O	3	33	1	0	-1	834	-1	1	1
3	O	2	1	4	0	-1	75	-1	1	1
1	D	3	19	3	0	1316	-1	-1	1	1
3	O	5	13	3	0	-1	400	-1	1	1
1	D	8	21	4	0	1098	-1	-1	1	1
4	O	4	9	3	0	-1	-1	506	1	1
3	O	3	38	1	0	-1	108	-1	1	1
1	D	10	19	4	0	1411	-1	-1	1	1
2	D	10	22	1	0	571	-1	-1	1	1
4	O	5	8	3	0	-1	-1	794	1	1
4	O	7	35	2	1	-1	-1	610	1	1
1	D	5	31	2	0	93	-1	-1	1	1
4	O	10	18	4	0	-1	-1	48	1	1
1	D	6	6	2	0	459	-1	-1	1	1
1	D	5	6	2	0	649	-1	-1	1	1
2	D	2	41	1	0	666	-1	-1	1	1
3	O	10	20	3	0	-1	41	-1	1	1
3	O	4	17	1	0	-1	360	-1	1	1
3	O	7	20	4	0	-1	288	-1	1	1
4	O	4	24	1	2	-1	-1	833	1	1
3	O	1	3	2	0	-1	753	-1	1	1
1	D	8	8	3	0	60	-1	-1	1	1
4	O	3	39	2	0	-1	-1	0	1	1
1	D	9	42	2	0	471	-1	-1	1	1
4	O	9	25	2	0	-1	-1	401	1	1
2	D	1	4	4	0	95	-1	-1	1	1
2	D	1	31	2	0	36	-1	-1	1	1
1	D	4	33	2	0	264	-1	-1	1	1
3	O	2	5	1	0	-1	557	-1	1	1
2	D	4	26	2	0	1066	-1	-1	1	1
