YardCraneScheduling
number of cranes
1
number of containers
150
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
2	41	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
3	O	8	4	2	1	-1	580	-1	1	1
1	D	10	27	4	0	3144	-1	-1	1	1
3	O	1	19	3	0	-1	2091	-1	1	1
4	O	5	28	3	0	-1	-1	1272	1	1
2	D	4	6	3	0	1818	-1	-1	1	1
1	D	4	41	4	0	2392	-1	-1	1	1
1	D	6	28	4	0	1908	-1	-1	1	1
4	O	4	10	4	0	-1	-1	1440	1	1
4	O	10	33	1	1	-1	-1	820	1	1
4	O	1	28	4	0	-1	-1	1461	1	1
4	O	6	38	3	0	-1	-1	2249	1	1
4	O	10	8	1	1	-1	-1	186	1	1
1	D	9	19	1	0	3841	-1	-1	1	1
2	D	10	22	2	0	977	-1	-1	1	1
3	O	2	15	4	0	-1	1170	-1	1	1
4	O	8	27	1	0	-1	-1	2017	1	1
1	D	7	4	3	0	2011	-1	-1	1	1
3	O	10	41	3	0	-1	1380	-1	1	1
3	O	8	31	2	0	-1	316	-1	1	1
2	D	6	5	2	0	692	-1	-1	1	1
3	O	5	29	2	0	-1	967	-1	1	1
2	D	7	14	1	0	3414	-1	-1	1	1
2	D	1	37	3	0	664	-1	-1	1	1
3	O	4	30	1	1	-1	249	-1	1	1
3	O	7	22	4	0	-1	292	-1	1	1
1	D	7	25	3	0	602	-1	-1	1	1
1	D	9	7	1	0	1062	-1	-1	1	1
1	D	1	2	3	0	3971	-1	-1	1	1
4	O	6	1	4	0	-1	-1	2050	1	1
2	D	9	15	2	0	295	-1	-1	1	1
3	O	5	36	4	0	-1	513	-1	1	1
4	O	2	28	1	0	-1	-1	375	1	1
2	D	5	15	1	0	4178	-1	-1	1	1
1	D	4	4	3	0	4056	-1	-1	1	1
4	O	9	28	4	0	-1	-1	2240	1	1
2	D	9	32	4	0	2783	-1	-1	1	1
4	O	3	13	1	0	-1	-1	214	1	1
3	O	5	33	2	0	-1	1140	-1	1	1
1	D	6	3	1	0	211	-1	-1	1	1
4	O	1	1	4	0	-1	-1	839	1	1
2	D	7	30	4	0	1682	-1	-1	1	1
2	D	5	5	2	0	2623	-1	-1	1	1
2	D	7	41	4	0	3494	-1	-1	1	1
1	D	3	6	4	0	2313	-1	-1	1	1
2	D	6	17	3	0	3527	-1	-1	1	1
4	O	6	4	1	0	-1	-1	1458	1	1
3	O	7	2	4	0	-1	1975	-1	1	1
3	O	3	23	2	0	-1	113	-1	1	1
3	O	2	24	4	0	-1	1324	-1	1	1
3	O	8	7	2	1	-1	1060	-1	1	1
4	O	4	16	1	1	-1	-1	1961	1	1
1	D	4	31	1	0	3031	-1	-1	1	1
2	D	5	24	2	0	2527	-1	-1	1	1
1	D	8	36	1	0	2447	-1	-1	1	1
3	O	4	15	4	0	-1	1320	-1	1	1
3	O	6	6	2	0	-1	1636	-1	1	1
3	O	9	2	4	0	-1	1387	-1	1	1
3	O	10	6	3	0	-1	1888	-1	1	1
3	O	9	38	3	0	-1	347	-1	1	1
1	D	5	42	4	0	608	-1	-1	1	1
4	O	6	22	4	0	-1	-1	449	1	1
3	O	3	21	3	0	-1	940	-1	1	1
4	O	9	18	1	1	-1	-1	2283	1	1
2	D	8	29	3	0	1210	-1	-1	1	1
2	D	5	4	2	0	2113	-1	-1	1	1
2	D	5	30	1	0	1768	-1	-1	1	1
4	O	8	40	3	0	-1	-1	265	1	1
2	D	7	20	4	0	4006	-1	-1	1	1
1	D	2	4	4	0	739	-1	-1	1	1
1	D	10	1	1	0	2852	-1	-1	1	1
1	D	2	19	4	0	1988	-1	-1	1	1
3	O	6	12	3	0	-1	1517	-1	1	1
1	D	9	25	4	0	3403	-1	-1	1	1
3	O	4	33	4	0	-1	1401	-1	1	1
3	O	10	21	2	0	-1	737	-1	1	1
1	D	7	28	1	0	2041	-1	-1	1	1
4	O	4	34	4	0	-1	-1	138	1	1
1	D	4	40	2	0	3858	-1	-1	1	1
4	O	9	4	2	0	-1	-1	2095	1	1
4	O	10	36	1	0	-1	-1	960	1	1
2	D	3	11	2	0	1884	-1	-1	1	1
4	O	3	40	4	0	-1	-1	256	1	1
2	D	1	24	4	0	2251	-1	-1	1	1
4	O	3	1	2	0	-1	-1	1141	1	1
3	O	3	33	2	0	-1	2232	-1	1	1
3	O	3	22	2	1	-1	1578	-1	1	1
4	O	8	42	1	0	-1	-1	814	1	1
2	D	1	6	4	0	1702	-1	-1	1	1
1	D	1	10	2	0	749	-1	-1	1	1
1	D	8	15	2	0	1143	-1	-1	1	1
2	D	1	8	1	0	1496	-1	-1	1	1
3	O	10	42	3	0	-1	470	-1	1	1
1	D	5	38	3	0	1336	-1	-1	1	1
3	O	8	22	1	0	-1	157	-1	1	1
3	O	7	6	2	0	-1	1859	-1	1	1
4	O	6	23	3	0	-1	-1	2072	1	1
2	D	2	1	2	0	1367	-1	-1	1	1
4	O	1	41	1	0	-1	-1	291	1	1
4	O	8	34	4	0	-1	-1	351	1	1
2	D	8	30	3	0	4223	-1	-1	1	1
3	O	3	7	4	0	-1	1604	-1	1	1
4	O	10	26	4	0	-1	-1	1614	1	1
1	D	5	7	2	0	622	-1	-1	1	1
1	D	3	2	4	0	432	-1	-1	1	1
2	D	7	37	4	0	3981	-1	-1	1	1
3	O	8	19	1	0	-1	14	-1	1	1
2	D	3	20	1	0	685	-1	-1	1	1
2	D	4	21	2	0	3058	-1	-1	1	1
2	D	4	2	4	0	2011	-1	-1	1	1
2	D	9	29	2	0	844	-1	-1	1	1
4	O	9	22	1	0	-1	-1	1424	1	1
3	O	1	23	1	0	-1	123	-1	1	1
1	D	6	24	4	0	4053	-1	-1	1	1
2	D	2	5	4	0	3964	-1	-1	1	1
3	O	3	18	1	0	-1	1708	-1	1	1
3	O	7	38	1	0	-1	291	-1	1	1
4	O	1	12	4	0	-1	-1	1299	1	1
1	D	1	34	2	0	1810	-1	-1	1	1
1	D	10	34	3	0	1416	-1	-1	1	1
3	O	8	37	4	0	-1	728	-1	1	1
3	O	6	11	2	0	-1	2065	-1	1	1
1	D	7	3	2	0	1672	-1	-1	1	1
3	O	10	29	2	0	-1	2317	-1	1	1
1	D	5	3	1	0	4362	-1	-1	1	1
3	O	1	38	1	0	-1	1101	-1	1	1
1	D	9	17	4	0	3634	-1	-1	1	1
2	D	8	39	2	0	2311	-1	-1	1	1
4	O	4	26	2	0	-1	-1	1321	1	1
3	O	9	23	3	0	-1	2078	-1	1	1
4	O	4	22	3	0	-1	-1	1044	1	1
2	D	3	9	1	0	889	-1	-1	1	1
4	O	2	12	1	0	-1	-1	2427	1	1
4	O	6	41	4	0	-1	-1	1233	1	1
3	O	5	2	1	2	-1	1139	-1	1	1
2	D	1	26	1	0	2876	-1	-1	1	1
2	D	7	19	1	0	1405	-1	-1	1	1
3	O	10	17	2	1	-1	1018	-1	1	1
2	D	5	40	4	0	1539	-1	-1	1	1
4	O	7	42	2	1	-1	-1	284	1	1
1	D	1	21	4	0	835	-1	-1	1	1
4	O	2	26	2	1	-1	-1	1455	1	1
1	D	10	3	4	0	519	-1	-1	1	1
